train_loss,val_loss,learning_rate
375777.9332336426,2.1733741760253906,0.0001
116106.20472727458,0.019359944388270378,0.0001
116985.91022989909,0.0017698312876746058,0.0001
80227.67312642415,0.0011521638371050358,0.0001
61675.51520751953,0.001175536192022264,0.0001
102516.57200927734,0.0011623426107689738,0.0001
53759.10857278188,0.0010737930424511433,0.0001
81811.70004315695,0.0007776690181344748,0.0001
84136.6962238566,0.0006018097628839314,0.0001
95372.7418367513,0.0005367395933717489,0.0001
